id,orderid,bikeid,userid,start_time,start_location_x,start_location_y,end_time,end_location_x,end_location_y,start_day,start_weekday,start_hour,weekend,distance
10933,4258,89205,17224,2020/8/29 00:00,121.42,31.199,2020/8/29 00:24,121.418,31.201,29,星期一,0,0,0.29240877
10934,4380,353897,12256,2020/8/29 00:23,121.354,31.135,2020/8/29 00:27,121.355,31.137,29,星期一,0,0,0.241382208
10935,4657,205957,3177,2020/8/29 00:43,121.493,31.288,2020/8/29 00:54,121.481,31.292,29,星期一,0,0,1.225623326
10936,4746,224890,4070,2020/8/29 00:46,121.579,31.343,2020/8/29 00:57,121.591,31.336,29,星期一,0,0,1.380750095
10937,4910,311535,4119,2020/8/29 01:01,121.467,31.31,2020/8/29 01:19,121.477,31.321,29,星期一,1,0,1.547115167
10938,6828,116942,59,2020/8/29 01:21,121.518,31.304,2020/8/29 01:40,121.529,31.335,29,星期一,1,0,3.593061333
10939,6879,71710,13451,2020/8/29 01:28,121.526,31.32,2020/8/29 01:35,121.532,31.324,29,星期一,1,0,0.723074898
10940,7000,164122,9262,2020/8/29 01:45,121.418,31.128,2020/8/29 02:11,121.451,31.138,29,星期一,1,0,3.336837939
10941,7067,59897,2687,2020/8/29 01:54,121.412,31.229,2020/8/29 02:20,121.381,31.253,29,星期一,1,0,3.975160268
10942,7322,340868,3984,2020/8/29 02:36,121.446,31.21,2020/8/29 02:48,121.441,31.192,29,星期一,2,0,2.051813158
10943,7480,180605,17248,2020/8/29 03:16,121.47,31.286,2020/8/29 03:30,121.468,31.273,29,星期一,3,0,1.453893327
10944,11847,5970,14673,2020/8/29 04:05,121.443,31.174,2020/8/29 04:10,121.436,31.168,29,星期一,4,0,0.94226929
10945,11967,48145,11618,2020/8/29 04:55,121.527,31.301,2020/8/29 06:18,121.528,31.295,29,星期一,4,0,0.672025706
10946,12108,203374,10062,2020/8/29 05:22,121.528,31.328,2020/8/29 05:33,121.507,31.329,29,星期一,5,0,2.001754387
10947,12234,216311,14333,2020/8/29 05:41,121.431,31.119,2020/8/29 05:50,121.433,31.124,29,星期一,5,0,0.586262891
10948,12377,255154,731,2020/8/29 05:53,121.55,31.269,2020/8/29 06:12,121.526,31.277,29,星期一,5,0,2.451627978
10949,12517,93479,8037,2020/8/29 06:01,121.465,31.257,2020/8/29 06:06,121.458,31.26,29,星期一,6,0,0.745085452
10950,16896,293517,15300,2020/8/29 06:07,121.409,31.299,2020/8/29 06:14,121.416,31.293,29,星期一,6,0,0.941656837
10951,17030,206982,4834,2020/8/29 06:13,121.417,31.189,2020/8/29 06:21,121.412,31.196,29,星期一,6,0,0.910744045
10952,17197,274984,5076,2020/8/29 06:18,121.39,31.327,2020/8/29 06:24,121.389,31.32,29,星期一,6,0,0.78193974
10953,17334,363284,4763,2020/8/29 06:22,121.364,31.26,2020/8/29 06:50,121.377,31.232,29,星期一,6,0,3.342337813
10954,17419,48256,14472,2020/8/29 06:24,121.398,31.308,2020/8/29 06:40,121.419,31.288,29,星期一,6,0,2.985728288
10955,17531,125196,1980,2020/8/29 06:27,121.388,31.277,2020/8/29 06:34,121.39,31.269,29,星期一,6,0,0.907211688
10956,21860,259170,7189,2020/8/29 06:31,121.406,31.352,2020/8/29 06:55,121.373,31.344,29,星期一,6,0,3.263010643
10957,21980,61050,21,2020/8/29 06:34,121.52,31.32,2020/8/29 06:44,121.519,31.304,29,星期一,6,0,1.776549617
10958,22072,170205,13021,2020/8/29 06:36,121.451,31.138,2020/8/29 06:49,121.437,31.134,29,星期一,6,0,1.406886179
10959,22225,362025,2334,2020/8/29 06:39,121.503,31.125,2020/8/29 06:46,121.499,31.119,29,星期一,6,0,0.766873616
10960,22311,350002,2591,2020/8/29 06:41,121.411,31.127,2020/8/29 06:48,121.415,31.135,29,星期一,6,0,0.965536103
10961,22524,323523,11696,2020/8/29 06:44,121.46,31.273,2020/8/29 07:03,121.467,31.291,29,星期一,6,0,2.104106524
10962,22519,300604,4277,2020/8/29 06:45,121.404,31.289,2020/8/29 06:59,121.421,31.284,29,星期一,6,0,1.710997372
10963,22623,130539,12282,2020/8/29 06:46,121.35,31.171,2020/8/29 06:52,121.353,31.165,29,星期一,6,0,0.7241117
10964,27084,140256,6411,2020/8/29 06:50,121.527,31.324,2020/8/29 06:57,121.537,31.328,29,星期一,6,0,1.050035377
10965,27320,206831,14741,2020/8/29 06:53,121.362,31.245,2020/8/29 07:01,121.356,31.241,29,星期一,6,0,0.723447787
10966,27527,361494,16496,2020/8/29 06:56,121.437,31.31,2020/8/29 07:04,121.447,31.308,29,星期一,6,0,0.977435494
10967,27727,365060,6890,2020/8/29 06:59,121.404,31.35,2020/8/29 07:07,121.398,31.342,29,星期一,6,0,1.054871848
10968,27756,254374,8790,2020/8/29 07:00,121.51,31.198,2020/8/29 07:23,121.54,31.192,29,星期一,7,0,2.935647856
10969,35398,167862,3802,2020/8/29 07:02,121.48,31.295,2020/8/29 07:47,121.536,31.321,29,星期一,7,0,6.060484492
10970,35554,296646,11909,2020/8/29 07:04,121.492,31.32,2020/8/29 07:10,121.485,31.319,29,星期一,7,0,0.675452669
10971,35632,36622,9746,2020/8/29 07:05,121.532,31.323,2020/8/29 07:17,121.546,31.328,29,星期一,7,0,1.443218294
10972,35720,321917,14533,2020/8/29 07:06,121.347,31.145,2020/8/29 07:15,121.349,31.155,29,星期一,7,0,1.125002638
10973,35893,189962,8949,2020/8/29 07:08,121.415,31.247,2020/8/29 07:25,121.436,31.24,29,星期一,7,0,2.145753119
10974,41275,340508,10212,2020/8/29 07:10,121.496,31.382,2020/8/29 07:20,121.488,31.381,29,星期一,7,0,0.769010539
10975,41354,83065,13505,2020/8/29 07:11,121.474,31.284,2020/8/29 07:15,121.482,31.281,29,星期一,7,0,0.831225204
10976,41497,337595,6322,2020/8/29 07:12,121.356,31.143,2020/8/29 07:45,121.384,31.166,29,星期一,7,0,3.691967305
10977,41482,122060,12468,2020/8/29 07:13,121.505,31.258,2020/8/29 07:16,121.501,31.253,29,星期一,7,0,0.672668063
10978,41690,82516,13314,2020/8/29 07:14,121.38,31.213,2020/8/29 07:19,121.385,31.214,29,星期一,7,0,0.489184393
10979,41815,11798,13502,2020/8/29 07:16,121.538,31.271,2020/8/29 07:22,121.53,31.267,29,星期一,7,0,0.881562052
10980,41887,34218,12640,2020/8/29 07:17,121.657,31.035,2020/8/29 07:26,121.649,31.045,29,星期一,7,0,1.346283644
10981,52384,310836,1434,2020/8/29 07:18,121.526,31.302,2020/8/29 07:29,121.522,31.308,29,星期一,7,0,0.766525115
10982,52516,355501,10480,2020/8/29 07:20,121.57,31.345,2020/8/29 07:26,121.575,31.351,29,星期一,7,0,0.817879181
10983,52757,43338,14572,2020/8/29 07:21,121.413,31.264,2020/8/29 07:28,121.402,31.263,29,星期一,7,0,1.053497726
10984,52714,187191,6802,2020/8/29 07:21,121.539,31.142,2020/8/29 07:27,121.538,31.15,29,星期一,7,0,0.892087065
10985,52736,335730,1552,2020/8/29 07:22,121.395,31.371,2020/8/29 07:43,121.396,31.369,29,星期一,7,0,0.241296912
10986,53012,365158,16495,2020/8/29 07:24,121.461,31.217,2020/8/29 07:34,121.463,31.229,29,星期一,7,0,1.344057373
10987,53046,243273,12480,2020/8/29 07:24,121.397,31.293,2020/8/29 07:32,121.407,31.291,29,星期一,7,0,0.977601815
10988,65548,60691,4212,2020/8/29 07:26,121.45,31.148,2020/8/29 07:36,121.459,31.159,29,星期一,7,0,1.491255651
10989,65740,59692,7725,2020/8/29 07:27,121.365,31.362,2020/8/29 07:33,121.356,31.363,29,星期一,7,0,0.863418343
10990,65759,140259,12158,2020/8/29 07:28,121.495,31.31,2020/8/29 07:40,121.506,31.321,29,星期一,7,0,1.607433585
10991,65924,347364,16834,2020/8/29 07:29,121.494,31.213,2020/8/29 07:41,121.483,31.218,29,星期一,7,0,1.185747231
10992,66028,288843,15322,2020/8/29 07:30,121.387,31.32,2020/8/29 07:55,121.355,31.305,29,星期一,7,0,3.470569606
10993,66181,173356,6466,2020/8/29 07:31,121.338,31.263,2020/8/29 07:49,121.356,31.241,29,星期一,7,0,2.981519377
10994,66232,125748,2279,2020/8/29 07:32,121.493,31.312,2020/8/29 07:39,121.489,31.32,29,星期一,7,0,0.965266523
10995,79419,202550,4602,2020/8/29 07:34,121.431,31.161,2020/8/29 07:38,121.433,31.165,29,星期一,7,0,0.482744772
10996,79617,14449,9354,2020/8/29 07:35,121.405,31.211,2020/8/29 08:15,121.447,31.225,29,星期一,7,0,4.292505805
10997,79520,182170,12644,2020/8/29 07:35,121.32,31.262,2020/8/29 07:46,121.311,31.259,29,星期一,7,0,0.919465598
10998,79815,6526,14342,2020/8/29 07:37,121.442,31.164,2020/8/29 07:45,121.434,31.166,29,星期一,7,0,0.794295566
10999,79963,173158,5474,2020/8/29 07:38,121.395,31.125,2020/8/29 07:51,121.407,31.124,29,星期一,7,0,1.149916932
11000,80239,200197,3712,2020/8/29 07:40,121.39,31.25,2020/8/29 07:57,121.41,31.242,29,星期一,7,0,2.101523621
11001,80370,165165,14254,2020/8/29 07:41,121.456,31.319,2020/8/29 07:48,121.447,31.318,29,星期一,7,0,0.863813525
11002,80598,277590,13023,2020/8/29 07:43,121.419,31.362,2020/8/29 07:48,121.429,31.367,29,星期一,7,0,1.101126674
11003,80628,91052,7373,2020/8/29 07:44,121.532,31.329,2020/8/29 07:51,121.528,31.336,29,星期一,7,0,0.864461285
11004,80675,270315,16865,2020/8/29 07:44,121.321,31.289,2020/8/29 07:51,121.324,31.296,29,星期一,7,0,0.827013736
11005,80754,90891,11713,2020/8/29 07:45,121.516,31.314,2020/8/29 07:52,121.508,31.312,29,星期一,7,0,0.793156085
